,epochs,beta,lr,total_loss,RCE_mol_loss,RCE_prop_loss,KLD_loss,total_loss_te,RCE_mol_loss_te,RCE_prop_loss_te,KLD_loss_te
0,1,0.02,3.088161777508183e-07,224.340283203125,111.24667619977679,0.0,5654.68046875,,,,
1,1,0.02,6.176323555016366e-07,245.44619547526042,122.45896809895834,0.0,6149.361328125,,,,
2,1,0.02,9.264485332524549e-07,210.68634372287326,102.81087409125433,0.0,5393.773654513889,,,,
3,1,0.02,1.2352647110032732e-06,190.0168720967061,90.63215266047297,0.0,4969.236064189189,,,,
4,1,0.02,1.5440808887540917e-06,178.3730895996094,85.14744262695312,0.0,4661.2822265625,,,,
5,1,0.02,1.8528970665049098e-06,210.48740086410984,100.91494473544034,0.0,5478.622869318182,,,,
6,1,0.02,2.1617132442557283e-06,208.9222755432129,98.9900074005127,0.0,5496.6136474609375,,,,
7,1,0.02,2.4705294220065464e-06,183.8003952438767,87.60801738017314,0.0,4809.618771114865,,,,
8,1,0.02,2.779345599757365e-06,186.05223911830356,89.07107805524554,0.0,4849.058426339286,,,,
9,1,0.02,3.0881617775081834e-06,175.45921456473215,84.51659284319196,0.0,4547.131194196429,,,,
10,1,0.02,3.3969779552590015e-06,189.6367853338068,91.87736927379261,0.0,4887.970939867424,,,,
11,1,0.02,3.7057941330098196e-06,175.12456403459822,85.7477521623884,0.0,4468.840680803572,,,,
12,1,0.02,4.014610310760638e-06,173.83874870749082,84.27771175608916,0.0,4478.051700367647,,,,
13,1,0.02,4.323426488511457e-06,162.7791273328993,81.21264309353299,0.0,4078.3243272569443,,,,
14,1,0.02,4.632242666262275e-06,166.67757606506348,82.85246086120605,0.0,4191.255859375,,,,
15,1,0.02,4.941058844013093e-06,151.6902878705193,75.8418300853056,0.0,3792.423023897059,,,,
16,1,0.02,5.249875021763911e-06,162.2700571332659,82.93229130336216,0.0,3966.8885323660716,,,,
17,1,0.02,5.55869119951473e-06,163.86853814894152,85.55164066437752,0.0,3915.8449470766127,,,,
18,1,0.02,5.867507377265548e-06,142.3604474748884,74.76168648856027,0.0,3379.9382254464285,,,,
19,1,0.02,6.176323555016367e-06,145.1554657907197,77.3676748564749,0.0,3389.389678030303,,,,
20,1,0.02,6.4851397327671845e-06,141.79715983072916,77.40242420543323,0.0,3219.7368607954545,,,,
21,1,0.02,6.793955910518003e-06,127.92534702845983,69.46398402622768,0.0,2923.0681919642857,,,,
22,1,0.02,7.1027720882688215e-06,128.31731459673713,71.5020590389476,0.0,2840.762752757353,,,,
23,1,0.02,7.411588266019639e-06,127.42184448242188,72.286208152771,0.0,2756.7817993164062,,,,
24,1,0.02,7.720404443770459e-06,118.75505297111742,68.44773818507339,0.0,2515.3657966382575,,,,
25,1,0.02,8.029220621521276e-06,112.85838826497395,66.62467702229817,0.0,2311.6857096354165,,,,
26,1,0.02,8.338036799272096e-06,126.93727416992188,77.25744934082032,0.0,2483.9912109375,,,,
27,1,0.02,8.646852977022913e-06,113.66682202888258,69.94254649769177,0.0,2186.213985558712,,,,
28,1,0.02,8.955669154773731e-06,97.56644134521484,60.24463424682617,0.0,1866.090478515625,,,,
29,1,0.02,9.079195625874058e-06,97.56644134521484,60.24463424682617,0.0,1866.090478515625,85.79483024597168,67.82023094177246,0.0,898.7300146484375
30,2,0.04,9.388011803624876e-06,90.6539784093057,58.25149634576613,0.0,810.0620904737904,,,,
31,2,0.04,9.696827981375695e-06,80.61299472384982,51.81844160291884,0.0,719.8638644748264,,,,
32,2,0.04,1.0005644159126515e-05,87.34879622920867,59.42954377205141,0.0,697.9812405493951,,,,
33,2,0.04,1.0314460336877332e-05,75.10411834716797,51.926731533474396,0.0,579.4346720377604,,,,
34,2,0.04,1.062327651462815e-05,76.14411882672991,54.01401541573661,0.0,553.2526088169643,,,,
35,2,0.04,1.093209269237897e-05,71.46619484641336,51.35793327562737,0.0,502.70656516335225,,,,
36,2,0.04,1.1240908870129787e-05,64.33804999457465,46.50854068332248,0.0,445.73773871527777,,,,
37,2,0.04,1.1549725047880606e-05,70.208982406124,52.81137134182838,0.0,434.9402643019153,,,,
38,2,0.04,1.1858541225631424e-05,69.3873643875122,53.56813144683838,0.0,395.48085021972656,,,,
39,2,0.04,1.2167357403382242e-05,69.48921966552734,53.57476615905762,0.0,397.8613586425781,,,,
40,2,0.04,1.2476173581133061e-05,67.34858417510986,53.184494972229004,0.0,354.1022262573242,,,,
41,2,0.04,1.2784989758883879e-05,60.12619646857767,47.0500389547909,0.0,326.9039306640625,,,,
42,2,0.04,1.3093805936634696e-05,63.97401338465073,51.030792236328125,0.0,323.5805448644301,,,,
43,2,0.04,1.3402622114385516e-05,58.86534028894761,46.852062449735755,0.0,300.3319666245404,,,,
44,2,0.04,1.3711438292136333e-05,62.34592392865349,51.26040110868566,0.0,277.1380615234375,,,,
45,2,0.04,1.4020254469887151e-05,56.391210382634945,46.145960027521305,0.0,256.1312773733428,,,,
46,2,0.04,1.432907064763797e-05,58.001650641946235,48.23261934168198,0.0,244.22581212660845,,,,
47,2,0.04,1.4637886825388788e-05,52.475917392306854,43.551856994628906,0.0,223.10151841905383,,,,
48,2,0.04,1.4946703003139606e-05,51.88478567940848,43.538056291852676,0.0,208.66820591517856,,,,
49,2,0.04,1.5255519180890425e-05,52.996378580729164,45.0417734781901,0.0,198.8651326497396,,,,
50,2,0.04,1.5564335358641243e-05,49.33113221864443,42.183691076330234,0.0,178.6860153610642,,,,
51,2,0.04,1.5873151536392062e-05,50.10950449350718,43.232614053262246,0.0,171.92228410050674,,,,
52,2,0.04,1.618196771414288e-05,53.44069576263428,46.319000244140625,0.0,178.04242134094238,,,,
53,2,0.04,1.6490783891893698e-05,50.67167432380445,44.22199596058238,0.0,161.2419637044271,,,,
54,2,0.04,1.6799600069644517e-05,49.31657852665071,43.28195977980091,0.0,150.8654982043851,,,,
55,2,0.04,1.7108416247395336e-05,45.15889892578125,39.711294991629465,0.0,136.19010009765626,,,,
56,2,0.04,1.7417232425146152e-05,48.11748165554471,42.93158891465929,0.0,129.64730156792535,,,,
