,epochs,beta,lr,total_loss,RCE_mol_loss,RCE_prop_loss,KLD_loss,total_loss_te,RCE_mol_loss_te,RCE_prop_loss_te,KLD_loss_te
0,1,0.02,3.088161777508183e-07,154.47015971522177,128.9824474703881,0.0,1274.3856476814517,,,,
1,1,0.02,6.176323555016366e-07,146.7025375366211,122.62006187438965,0.0,1204.1237182617188,,,,
2,1,0.02,9.264485332524549e-07,154.77139078776042,129.41519165039062,0.0,1267.8098958333333,,,,
3,1,0.02,1.2352647110032732e-06,137.55913434709822,114.9173078264509,0.0,1132.0913922991072,,,,
4,1,0.02,1.5440808887540917e-06,160.03658650716145,134.08273111979167,0.0,1297.6928548177084,,,,
5,1,0.02,1.8528970665049098e-06,150.2647488501764,125.57050348097279,0.0,1234.7122448336693,,,,
6,1,0.02,2.1617132442557283e-06,141.2261619567871,118.06253623962402,0.0,1158.1812896728516,,,,
7,1,0.02,2.4705294220065464e-06,152.4771925403226,127.75858233051915,0.0,1235.9305223034273,,,,
8,1,0.02,2.779345599757365e-06,150.891353484123,126.24857059601814,0.0,1232.1390971522178,,,,
9,1,0.02,3.0881617775081834e-06,144.58696746826172,121.03008651733398,0.0,1177.8439483642578,,,,
10,1,0.02,3.3969779552590015e-06,148.02613728841146,124.23508911132812,0.0,1189.5522786458334,,,,
11,1,0.02,3.7057941330098196e-06,125.40909885715794,105.00338167757602,0.0,1020.2858952702703,,,,
12,1,0.02,4.014610310760638e-06,149.89501362462198,125.96695438508064,0.0,1196.4029895413307,,,,
13,1,0.02,4.323426488511457e-06,144.5652859595514,121.5002953314012,0.0,1153.2495589717741,,,,
14,1,0.02,4.632242666262275e-06,154.9014465332031,130.48675740559895,0.0,1220.7343424479166,,,,
15,1,0.02,4.941058844013093e-06,138.8421112985322,116.84571422230114,0.0,1099.8198094223485,,,,
16,1,0.02,5.249875021763911e-06,145.43995125063003,122.72701337260585,0.0,1135.647004158266,,,,
17,1,0.02,5.55869119951473e-06,146.73696899414062,123.78495483398437,0.0,1147.6008626302084,,,,
18,1,0.02,5.867507377265548e-06,145.38708902994793,122.61361694335938,0.0,1138.67373046875,,,,
19,1,0.02,6.176323555016367e-06,122.31418355305989,103.13922119140625,0.0,958.7481282552084,,,,
20,1,0.02,6.4851397327671845e-06,131.28181966145834,110.9987275094697,0.0,1014.1546223958334,,,,
21,1,0.02,6.793955910518003e-06,134.8430027817235,114.14670817057292,0.0,1034.8147786458333,,,,
22,1,0.02,7.1027720882688215e-06,137.01598930358887,116.16564178466797,0.0,1042.5173645019531,,,,
23,1,0.02,7.411588266019639e-06,144.53250340053015,122.8208748953683,0.0,1085.5814906529017,,,,
24,1,0.02,7.720404443770459e-06,145.49018386314654,123.74496986126077,0.0,1087.2608263739223,,,,
25,1,0.02,8.029220621521276e-06,137.19487052128233,116.80892418170798,0.0,1019.297329606681,,,,
26,1,0.02,8.338036799272096e-06,134.95343608240927,115.07349026587701,0.0,993.9974168346774,,,,
27,1,0.02,8.646852977022913e-06,117.0844011579241,99.73372628348214,0.0,867.5338309151786,,,,
28,1,0.02,8.955669154773731e-06,132.6210673014323,113.46864013671875,0.0,957.6213541666667,,,,
29,1,0.02,9.26448533252455e-06,129.99659729003906,111.3901424407959,0.0,930.3226318359375,,,,
30,1,0.02,9.573301510275368e-06,126.22362493699596,108.14309397051412,0.0,904.0265246975806,,,,
31,1,0.02,9.882117688026186e-06,121.36185524680398,104.26477420691288,0.0,854.8539891098485,,,,
32,1,0.02,1.0190933865777005e-05,126.44392342403017,108.6915283203125,0.0,887.6198309536638,,,,
33,1,0.02,1.0499750043527823e-05,123.45728720388105,106.3208500031502,0.0,856.8219033518145,,,,
34,1,0.02,1.0808566221278642e-05,124.15989242061492,106.97754300025201,0.0,859.1175340221774,,,,
35,1,0.02,1.111738239902946e-05,106.52178955078125,91.86115858289931,0.0,733.0316297743055,,,,
36,1,0.02,1.1426198576780279e-05,107.50994698660715,92.72565046037947,0.0,739.2148716517858,,,,
37,1,0.02,1.1735014754531097e-05,126.38732256208148,109.46412004743304,0.0,846.1600167410714,,,,
38,1,0.02,1.2043830932281914e-05,112.62120819091797,97.5455379486084,0.0,753.7835083007812,,,,
39,1,0.02,1.2352647110032734e-05,114.6384789251512,99.52965717930948,0.0,755.4411069808468,,,,
40,1,0.02,1.2661463287783551e-05,116.92065823462701,101.68337914251512,0.0,761.8639427923387,,,,
41,1,0.02,1.2970279465534369e-05,104.31561470031738,90.6370906829834,0.0,683.92626953125,,,,
42,1,0.02,1.3279095643285188e-05,110.31903457641602,96.19038581848145,0.0,706.4324340820312,,,,
43,1,0.02,1.3587911821036006e-05,105.24414825439453,91.74677085876465,0.0,674.8689117431641,,,,
44,1,0.02,1.3896727998786824e-05,98.22768702651516,85.69722863399622,0.0,626.5230749881629,,,,
45,1,0.02,1.4205544176537643e-05,105.79773763020833,92.60513305664062,0.0,659.6302327473958,,,,
46,1,0.02,1.451436035428846e-05,101.59277153015137,89.12018966674805,0.0,623.6290893554688,,,,
47,1,0.02,1.4823176532039278e-05,102.40028627457157,89.82222034085181,0.0,628.9032258064516,,,,
