,epochs,beta,lr,total_loss,RCE_mol_loss,RCE_prop_loss,KLD_loss,total_loss_te,RCE_mol_loss_te,RCE_prop_loss_te,KLD_loss_te
0,1,0.02,3.088161777508183e-07,45.845794677734375,45.502884758843315,0.0,17.145546383327908,,,,
1,1,0.02,6.176323555016366e-07,48.53913922991072,48.206470598493304,0.0,16.633454023088728,,,,
2,1,0.02,9.264485332524549e-07,47.82888990832913,47.465035715410785,0.0,18.192697340442287,,,,
3,1,0.02,1.2352647110032732e-06,51.21029090881348,50.844316482543945,0.0,18.298633575439453,,,,
4,1,0.02,1.5440808887540917e-06,53.12911128997803,52.768187522888184,0.0,18.046218395233154,,,,
5,1,0.02,1.8528970665049098e-06,53.280633741809474,52.9056140530494,0.0,18.75098173079952,,,,
6,1,0.02,2.1617132442557283e-06,51.1300547281901,50.75750020345052,0.0,18.62770284016927,,,,
7,1,0.02,2.4705294220065464e-06,51.44819259643555,51.074795722961426,0.0,18.669798374176025,,,,
8,1,0.02,2.779345599757365e-06,49.93541145324707,49.56375789642334,0.0,18.582656860351562,,,,
9,1,0.02,3.0881617775081834e-06,53.865577189127606,53.49013977050781,0.0,18.771923319498697,,,,
10,1,0.02,3.3969779552590015e-06,53.99180455361643,53.6241445233745,0.0,18.382994374921246,,,,
11,1,0.02,3.7057941330098196e-06,45.87184797014509,45.53257882254464,0.0,16.96349639892578,,,,
12,1,0.02,4.014610310760638e-06,53.16320146833147,52.77276284354074,0.0,19.521922520228795,,,,
13,1,0.02,4.323426488511457e-06,48.731116510206654,48.36101605815272,0.0,18.504952461488784,,,,
14,1,0.02,4.632242666262275e-06,46.52552564216383,46.18453794537169,0.0,17.049429228811555,,,,
15,1,0.02,4.941058844013093e-06,46.35262612735524,46.01360724954044,0.0,16.950890933766086,,,,
16,1,0.02,5.249875021763911e-06,48.31249461454504,47.96922392003677,0.0,17.163527544806986,,,,
17,1,0.02,5.55869119951473e-06,54.51226704915364,54.13001200358073,0.0,19.112755330403647,,,,
18,1,0.02,5.867507377265548e-06,51.86978251139323,51.49005025227864,0.0,18.98663813273112,,,,
19,1,0.02,6.176323555016367e-06,54.20453389485677,53.85376892089844,0.0,17.53820317586263,,,,
20,1,0.02,6.4851397327671845e-06,53.184777621565196,52.800085659684804,0.0,19.234610721982758,,,,
21,1,0.02,6.793955910518003e-06,48.268399238586426,47.880879402160645,0.0,19.376010417938232,,,,
22,1,0.02,7.1027720882688215e-06,45.76358957001657,45.40676509972775,0.0,17.841208024458453,,,,
23,1,0.02,7.411588266019639e-06,58.060278530778554,57.66015519766972,0.0,20.006160078377558,,,,
24,1,0.02,7.720404443770459e-06,47.15069857510653,46.811214562618375,0.0,16.97417704264323,,,,
25,1,0.02,8.029220621521276e-06,47.31958484649658,46.96108150482178,0.0,17.925209522247314,,,,
26,1,0.02,8.338036799272096e-06,47.0841320407006,46.7206539030998,0.0,18.173926568800404,,,,
27,1,0.02,8.646852977022913e-06,54.56555288809317,54.163421630859375,0.0,20.106526127568,,,,
28,1,0.02,8.955669154773731e-06,52.791624886649,52.389683314732146,0.0,20.097079140799387,,,,
29,1,0.02,9.26448533252455e-06,50.228984217489916,49.85540377709173,0.0,18.679036540369832,,,,
30,1,0.02,9.573301510275368e-06,49.87188031596522,49.497632426600305,0.0,18.712419079196067,,,,
31,1,0.02,9.882117688026186e-06,43.41651960100447,43.06994105747768,0.0,17.32891584123884,,,,
32,1,0.02,1.0190933865777005e-05,45.290331159319194,44.92324131556919,0.0,18.35446951729911,,,,
33,1,0.02,1.0499750043527823e-05,48.43098302041331,48.066615935294855,0.0,18.218383050733998,,,,
34,1,0.02,1.0808566221278642e-05,48.73176722372732,48.35983177923387,0.0,18.596759426978327,,,,
35,1,0.02,1.111738239902946e-05,51.5876517460264,51.189198461072195,0.0,19.922641885691675,,,,
36,1,0.02,1.1426198576780279e-05,49.31412353515625,48.91120198567708,0.0,20.146114349365234,,,,
37,1,0.02,1.1735014754531097e-05,40.529502868652344,40.194603814019096,0.0,16.744917551676433,,,,
38,1,0.02,1.2043830932281914e-05,46.51224136352539,46.14628219604492,0.0,18.29794716835022,,,,
39,1,0.02,1.2352647110032734e-05,48.106146812438965,47.75569820404053,0.0,17.522417306900024,,,,
40,1,0.02,1.2661463287783551e-05,44.55025752898185,44.191759663243445,0.0,17.924866460984752,,,,
41,1,0.02,1.2970279465534369e-05,45.915331440587195,45.534515380859375,0.0,19.040745888986894,,,,
42,1,0.02,1.3279095643285188e-05,44.17538833618164,43.79693841934204,0.0,18.92250347137451,,,,
43,1,0.02,1.3587911821036006e-05,48.54583319302263,48.161115975215516,0.0,19.23582221721781,,,,
44,1,0.02,1.3896727998786824e-05,43.96249852035985,43.60420550722064,0.0,17.91459100896662,,,,
45,1,0.02,1.4205544176537643e-05,45.13143273555871,44.77747599283854,0.0,17.69781054872455,,,,
46,1,0.02,1.451436035428846e-05,41.481771132525274,41.118134442497706,0.0,18.181859633501837,,,,
47,1,0.02,1.4823176532039278e-05,40.72046334402902,40.38506556919643,0.0,16.769901820591517,,,,
