,epochs,beta,lr,total_loss,RCE_mol_loss,RCE_prop_loss,KLD_loss,total_loss_te,RCE_mol_loss_te,RCE_prop_loss_te,KLD_loss_te
0,1,0.02,3.088161777508183e-07,142.65001653855848,118.3573726530998,0.0,1214.6322454637098,,,,
1,1,0.02,6.176323555016366e-07,155.07470282192887,128.7992532664332,0.0,1313.7725451239223,,,,
2,1,0.02,9.264485332524549e-07,136.41155820904356,113.47678259647253,0.0,1146.7388139204545,,,,
3,1,0.02,1.2352647110032732e-06,142.5694179534912,118.56474304199219,0.0,1200.2337493896484,,,,
4,1,0.02,1.5440808887540917e-06,144.91113871912802,120.61302332724294,0.0,1214.9058877268146,,,,
5,1,0.02,1.8528970665049098e-06,139.60170676491478,116.18762391986269,0.0,1170.7042643229167,,,,
6,1,0.02,2.1617132442557283e-06,158.4827817719558,132.1347277411099,0.0,1317.402798356681,,,,
7,1,0.02,2.4705294220065464e-06,143.1938419342041,119.35564804077148,0.0,1191.9097900390625,,,,
8,1,0.02,2.779345599757365e-06,129.8426984514509,108.16655099051339,0.0,1083.80732421875,,,,
9,1,0.02,3.0881617775081834e-06,137.11793518066406,114.29848098754883,0.0,1140.9726104736328,,,,
10,1,0.02,3.3969779552590015e-06,127.29620530870226,106.10690477159288,0.0,1059.4650065104167,,,,
11,1,0.02,3.7057941330098196e-06,145.81095837008567,121.87480114352319,0.0,1196.8078061995968,,,,
12,1,0.02,4.014610310760638e-06,144.28319131174396,120.59786495085686,0.0,1184.2662865423388,,,,
13,1,0.02,4.323426488511457e-06,148.00650024414062,123.8526387532552,0.0,1207.6930013020833,,,,
14,1,0.02,4.632242666262275e-06,142.7693894909274,119.63474790511593,0.0,1156.7321226058468,,,,
15,1,0.02,4.941058844013093e-06,147.04963210533404,123.42548238820044,0.0,1181.207485856681,,,,
16,1,0.02,5.249875021763911e-06,132.18479040897253,110.86095636541194,0.0,1066.1916429924242,,,,
17,1,0.02,5.55869119951473e-06,125.37713802562041,105.23894366096047,0.0,1006.9097397748162,,,,
18,1,0.02,5.867507377265548e-06,133.3966933741714,112.1774014559659,0.0,1060.9646218039773,,,,
19,1,0.02,6.176323555016367e-06,126.32257977653953,106.27393834731159,0.0,1002.4320140165441,,,,
20,1,0.02,6.4851397327671845e-06,128.6213648178998,108.4982748592601,0.0,1006.1545553768383,,,,
21,1,0.02,6.793955910518003e-06,136.83787684286796,115.50169520224294,0.0,1066.8091607862902,,,,
22,1,0.02,7.1027720882688215e-06,134.67950833228326,113.83787881174395,0.0,1042.0814642137098,,,,
23,1,0.02,7.411588266019639e-06,135.47789916992187,114.71705322265625,0.0,1038.0423177083333,,,,
24,1,0.02,7.720404443770459e-06,127.2184189305161,107.89389500473484,0.0,966.226103811553,,,,
25,1,0.02,8.029220621521276e-06,123.34926165956439,104.53673206676136,0.0,940.6266276041666,,,,
26,1,0.02,8.338036799272096e-06,122.04138004078584,103.69420848173253,0.0,917.3585133272059,,,,
27,1,0.02,8.646852977022913e-06,126.63429260253906,107.75218963623047,0.0,944.1052093505859,,,,
28,1,0.02,8.955669154773731e-06,122.30841636657715,104.30540657043457,0.0,900.1506042480469,,,,
29,1,0.02,9.26448533252455e-06,123.74080657958984,105.44250106811523,0.0,914.9152679443359,,,,
30,1,0.02,9.573301510275368e-06,115.54023511482008,98.69743208451705,0.0,842.14013671875,,,,
31,1,0.02,9.882117688026186e-06,127.47941737021169,109.12192855342742,0.0,917.874495967742,,,,
32,1,0.02,1.0190933865777005e-05,118.53622141192037,101.42864399571573,0.0,855.3789377520161,,,,
33,1,0.02,1.0499750043527823e-05,132.42603895399304,113.74984854239004,0.0,933.8093713831018,,,,
34,1,0.02,1.0808566221278642e-05,113.38627855705492,97.39119466145833,0.0,799.7541281960227,,,,
35,1,0.02,1.111738239902946e-05,102.30881245930989,87.87860276963976,0.0,721.5105658637153,,,,
36,1,0.02,1.1426198576780279e-05,122.28896147629311,105.44103372508081,0.0,842.3963496767242,,,,
37,1,0.02,1.1735014754531097e-05,114.83667779737904,99.08502000378024,0.0,787.5829448084677,,,,
38,1,0.02,1.2043830932281914e-05,113.72348022460938,98.21907145182291,0.0,775.2205078125,,,,
39,1,0.02,1.2352647110032734e-05,110.0493896484375,95.1205546061198,0.0,746.4416748046875,,,,
40,1,0.02,1.2661463287783551e-05,102.95908131318934,89.30366964901195,0.0,682.7706514246323,,,,
41,1,0.02,1.2970279465534369e-05,112.4484442349138,97.78948764143318,0.0,732.9478549299569,,,,
42,1,0.02,1.3279095643285188e-05,109.74874188823085,95.44332590410787,0.0,715.2708385836694,,,,
43,1,0.02,1.3587911821036006e-05,98.92825698852539,85.98749923706055,0.0,647.037971496582,,,,
44,1,0.02,1.3896727998786824e-05,98.33506965637207,85.61019515991211,0.0,636.2437286376953,,,,
45,1,0.02,1.4205544176537643e-05,98.53007368607955,86.04310561671402,0.0,624.3483738754735,,,,
46,1,0.02,1.451436035428846e-05,99.364744124874,87.13526768838206,0.0,611.4736958165323,,,,
47,1,0.02,1.4823176532039278e-05,97.7085018157959,85.6187629699707,0.0,604.4869232177734,,,,
48,1,0.02,1.5131992709790098e-05,94.16946318655303,82.65168808445786,0.0,575.8887532552084,,,,
49,1,0.02,1.5440808887540917e-05,89.20289132254464,78.41133161272322,0.0,539.5778669084822,,,,
50,1,0.02,1.5749625065291736e-05,85.97680843577666,75.56718893612133,0.0,520.4809857536765,,,,
51,1,0.02,1.6058441243042552e-05,96.81181483114919,85.50006398847026,0.0,565.5875126008065,,,,
52,1,0.02,1.6367257420793372e-05,87.74341179342831,77.41120013068704,0.0,516.6105741613052,,,,
53,1,0.02,1.667607359854419e-05,103.2608721697772,91.3650331850405,0.0,594.7919108072916,,,,
54,1,0.02,1.6984889776295007e-05,99.62552721747036,88.4080915779903,0.0,560.8717335668103,,,,
55,1,0.02,1.7293705954045827e-05,84.82352701822917,75.35881181196733,0.0,473.2357214725379,,,,
56,1,0.02,1.7602522131796646e-05,89.208740234375,79.22994079589844,0.0,498.939990234375,,,,
57,1,0.02,1.7911338309547462e-05,86.32363059303977,76.93769975142045,0.0,469.29667524857956,,,,
58,1,0.02,1.822015448729828e-05,85.42504272460937,76.32796427408854,0.0,454.8539306640625,,,,
59,1,0.02,1.85289706650491e-05,87.70250244140625,78.48996480305989,0.0,460.6269287109375,,,,
60,1,0.02,1.8837786842799917e-05,74.81445642419763,67.04847841005068,0.0,388.2988743137669,,,,
61,1,0.02,1.9146603020550736e-05,87.17679036458334,78.54218241373698,0.0,431.73033854166664,,,,
62,1,0.02,1.9455419198301555e-05,86.23193043675916,77.78142573915679,0.0,422.5252896012931,,,,
63,1,0.02,1.976423537605237e-05,83.481444328062,75.44982417937248,0.0,401.581046811996,,,,
64,1,0.02,2.007305155380319e-05,82.90820719401042,75.07103780110677,0.0,391.85845540364585,,,,
65,1,0.02,2.038186773155401e-05,79.56772145917338,72.31238875850555,0.0,362.76661731350805,,,,
66,1,0.02,2.069068390930483e-05,77.14585090406013,70.34904896129261,0.0,339.8401396780303,,,,
67,1,0.02,2.0999500087055645e-05,70.42065160414752,64.431957469267,0.0,299.4346923828125,,,,
68,1,0.02,2.1308316264806465e-05,79.1676249186198,72.72692159016927,0.0,322.03514811197914,,,,
69,1,0.02,2.1617132442557284e-05,76.431641609438,70.41058940272177,0.0,301.0526359311996,,,,
70,1,0.02,2.19259486203081e-05,68.71194188735065,63.39479962517233,0.0,265.85710592830884,,,,
71,1,0.02,2.223476479805892e-05,70.44355773925781,65.36990715475643,0.0,253.68259205537683,,,,
72,1,0.02,2.254358097580974e-05,71.49464893341064,66.67764663696289,0.0,240.85011672973633,,,,
73,1,0.02,2.2852397153560558e-05,74.43286539713542,69.62974141438802,0.0,240.1562744140625,,,,
74,1,0.02,2.3161213331311374e-05,82.41134304470486,77.48795233832465,0.0,246.16954210069446,,,,
75,1,0.02,2.3470029509062193e-05,76.31050008138021,72.04359436035156,0.0,213.34530029296874,,,,
76,1,0.02,2.377884568681301e-05,78.55675953832166,74.22160707671067,0.0,216.75767359240302,,,,
77,1,0.02,2.408766186456383e-05,76.20900065104166,72.3902587890625,0.0,190.93710123697917,,,,
78,1,0.02,2.439647804231465e-05,60.37385777064732,57.37359531947545,0.0,150.01311732700893,,,,
79,1,0.02,2.4705294220065467e-05,74.35591430664063,71.01553955078126,0.0,167.01873779296875,,,,
80,1,0.02,2.5014110397816283e-05,70.24996757507324,67.30893993377686,0.0,147.05139350891113,,,,
81,1,0.02,2.5322926575567103e-05,71.47919654846191,68.6344347000122,0.0,142.23809432983398,,,,
82,1,0.02,2.563174275331792e-05,66.62199974060059,64.0286808013916,0.0,129.66600227355957,,,,
83,1,0.02,2.5940558931068738e-05,74.14552044046336,71.42951491783406,0.0,135.80025718952047,,,,
84,1,0.02,2.624937510881956e-05,73.16468021787446,70.63910964439656,0.0,126.27855603448276,,,,
85,1,0.02,2.6558191286570377e-05,63.563838149562024,61.544713800603695,0.0,100.95622484611742,,,,
86,1,0.02,2.6867007464321196e-05,63.98405238560268,61.989778355189735,0.0,99.7136962890625,,,,
87,1,0.02,2.7175823642072012e-05,73.27208251953125,71.10574645996094,0.0,108.31682535807292,,,,
88,1,0.02,2.7484639819822828e-05,72.60340772356305,70.61903163364956,0.0,99.21878923688617,,,,
89,1,0.02,2.7793455997573647e-05,72.86969730771821,70.86956787109375,0.0,100.00648866850754,,,,
90,1,0.02,2.810227217532447e-05,69.89583169260332,68.08977680821573,0.0,90.30277965914819,,,,
